Title,Date Given,Location,Link,
EAGLE-XL: EAGLE in a 300 Mpc box with SWIFT,6 Mar 2020,Harvard CfA,https://figshare.com/articles/EAGLE-XL_EAGLE_in_a_300_Mpc_box_with_SWIFT/11954997,
Inter-Lagrangian Transfer: The Story from SIMBA and EAGLE,3 Mar 2020,MIT Kavli Institute,,
SWIFT: Scaling Cosmological Simulations,1 Mar 2020,"SIMBA Collaboration Meeting, CCA New York, USA",https://figshare.com/articles/SWIFT_Scaling_Cosmological_Simulations/11879535,
Inter-Lagrangian Transfer: The Story from SIMBA and EAGLE,1 Mar 2020,"SIMBA Collaboration Meeting, CCA New York, USA",https://figshare.com/articles/Inter-Lagrangian_Transfer_The_Story_from_SIMBA_and_EAGLE/11879538,
SPHENIX: Hydrodynamics for the next generation of EAGLE simulations,9 Jan 2020,"VIRGO Collaboration Meeting, Durham, UK",https://figshare.com/articles/SPHENIX_Hydrodynamics_for_the_next_generation_of_EAGLE_simulations/11955000,
Handling 100 billion particles: An SPH scheme for cosmological simulations,28 Nov 2019,SPH-SIG Durham,https://figshare.com/articles/Handling_100_billion_particles_An_SPH_scheme_for_cosmological_simulations/11954994,
Cosmological baryon transfer in the SIMBA simulations (Colloquium),25 Sep 2019,"UC Riverside, USA",https://figshare.com/articles/Cosmological_baryon_transfer_in_the_SIMBA_simulations/9922250,
Choosing the best flavour of SPH for astrophysics problems: More complex may not be better,27 Jun 2019,"Spheric 2019, Exeter. 3rd place winner in Libersky Prize (Â£400)",https://figshare.com/articles/Choosing_the_best_flavour_of_SPH_for_astrophysics_problems_More_complex_may_not_be_better/8397098,
Hydrodynamics Schemes for Galaxy Formation: EAGLE-XL,18 Jun 2019,"NORDITA, Stockholm",,
The how and why of python tools,15 May 2019,St. Andrews University,https://figshare.com/articles/The_how_and_why_of_python_tools/8397074,
Cosmological baryon transfer in the SIMBA simulations ,26 Apr 2019,Harvard CfA,https://figshare.com/articles/Cosmological_baryon_transfer_in_the_SIMBA_simulations/8397068,
Building Bigger Boxes: Towards True Cosmological Volumes with EAGLE-XL,22 Apr 2019,MIT Kavli Institute,https://figshare.com/articles/Building_Bigger_Boxes_Towards_True_Cosmological_Volumes_with_EAGLE-XL/8397062,
"SWIFT, EAGLE-XL, and the future of Computational Cosmology",27 Mar 2019,"IAC, Tenerife",,
Inter-Lagrangian Baryon Transfer in the SIMBA Simulations,8 Feb 2019,"ICC, Durham",https://figshare.com/articles/Inter-Lagrangian_Baryon_Transfer_in_the_SIMBA_Simulations/7731395,
Simulating the Universe,24 Jan 2019,"Physics Society, Durham University",https://figshare.com/articles/Simulating_the_Universe/7731404,
Simulating the Universe at Petascale,15 Jan 2019,"Data Science Meetup NE, Newcastle",https://figshare.com/articles/Simulating_the_Universe_at_Petascale/7731398,
Inter-Lagrangian Baryon Transfer in the SIMBA Simulations,8 Jan 2019,"DEX XV, Edinburgh | Winner, Best Short Talk",https://figshare.com/articles/Inter-Lagrangian_Baryon_Transfer_in_the_SIMBA_Simulations/7731389,
Inter-Lagrangian Baryon Transfer in the SIMBA Simulations,3 Dec 2018,Computational Cosmology Lorentz Workshop,https://figshare.com/articles/Inter-Lagrangian_Baryon_Transfer_in_the_SIMBA_Simulations/7416344,
"SWIFT, EAGLE-XL, and the future of Computational Cosmology",23 Nov 2018,"ARI, LJMU",https://figshare.com/articles/SWIFT_EAGLE-XL_and_the_future_of_Computational_Cosmology/7416332,
Hydrodynamics Schemes and Viscosity in SWIFT,31 Oct 2018,"SWIFT Week 2018, ICC, Durham",https://figshare.com/articles/Hydrodynamics_Schemes_and_Viscosity_in_SWIFT/7416338,
Lagrangian Transfer,1 August 2018,"Centre for Computational Astrophysics, U.S.A",https://figshare.com/articles/Lagrangian_Transfer_Kavli_Summer_Program_in_Astrophysics/6890906,
Hydrodynamics Schemes: Spoilt for Choice,25 May 2018,"ICC, Durham",https://figshare.com/articles/Hydrodynamics_Schemes_Spoilt_for_Choice/7066532,
Galaxy Makers: Expanding & Evaluating Exhibitions Through the use of an Online Component,6 April 2018,"EWASS 2018, Liverpool",https://figshare.com/articles/Galaxy_Makers_Expanding_Evaluating_Exhibitions_Through_the_use_of_an_Online_Component/6105989,
A physically motivated model of the Interstellar Medium: Towards a macroscopic view of the ISM,10 May 2017,Durham University,https://figshare.com/articles/A_physically_motivated_model_of_the_Interstellar_Medium_Towards_a_macroscopic_view_of_the_ISM/7066529,
Public Engagement Appraisals: Building Portfolios to aid Career Development,11 Jan 2016,Leiden University,https://figshare.com/articles/Public_Engagement_Appraisals_Building_Portfolios_to_aid_Career_Development/2062515,
A Blueprint for Assessing Societal Impact Through Public Engagement,8 Oct 2015,2AM: Amsterdam,https://www.slideshare.net/JBorrow/2am-amsterdam-a-blueprint-for-assessing-societal-impact-through-public-engagement?qid=7eea2a8b-4cfa-438d-8ea7-1d303e48d967&v=&b=&from_search=1,
